TEAM,MATCHUP,GAME DATE,W/L,MIN,PTS,FGA,FG%,3P%,DREB,REB,AST,TOV,STL,BLK,PF,+/-
MIL,ORL,04/14/2024,-1.0,-0.21615535694481947,-2.0408648854049165,-1.982753428291083,-1.3682591442008916,-1.2704113938419346,-1.1070887422212672,-1.4512861878579317,-2.0926558580717245,0.8909293118074793,0.895183521838103,-0.43956433467113654,-0.17581375434731297,-1.584041702886979
CHI,NYK,04/14/2024,-1.0,3.802664644966317,0.37285031560282067,1.7252349133801443,0.17800945867222293,-1.2824027070754216,-0.7372824680866594,0.06974483724879667,-0.3277845835894763,-0.4211433097480759,2.6673961918217937,-0.8246527475240553,0.5474334625329367,-0.06336166811547916
MIN,PHX,04/14/2024,-1.0,-0.21615535694481947,-0.6393528332068756,-2.695828109381704,0.7055599231818734,-0.22716714252854026,-1.6617981534231787,-1.147079982836586,-0.9160750084168924,2.7278309819852566,-0.16814408015211119,-0.05447592181821782,0.3063510569061868,-1.2038716941941041
CHA,CLE,04/14/2024,1.0,-0.21615535694481947,0.45071209628048964,0.29908555119890295,0.5418373652306028,1.3197122645913195,0.7419426284517714,0.5260541447808152,1.8292803074443826,-0.945972358370298,0.895183521838103,1.485877729593457,-1.8633905937345623,0.6336166811547916
TOR,MIA,04/14/2024,-1.0,-0.21615535694481947,-0.8729381752398824,0.15647061498077883,-0.9680484469866731,-1.1984635144410105,-0.9221856051539633,-0.3865644702832219,-0.719978200141087,1.4157583604297013,-0.5225866141488492,-0.8246527475240553,0.5474334625329367,-0.9504250217321875
BOS,WAS,04/14/2024,1.0,-0.21615535694481947,1.385053464412517,0.013855678762654708,1.7788522475290938,1.6194950954285017,0.9268457655190753,0.6781572472914881,0.45660264951374513,0.8909293118074793,0.895183521838103,3.79640820671097,-1.3812257824810623,0.6336166811547916
NYK,CHI,04/14/2024,1.0,3.802664644966317,0.45071209628048964,0.29908555119890295,0.5418373652306028,0.12058094124259085,0.7419426284517714,1.4386727598448523,0.06440903296213439,1.9405874090519235,-0.16814408015211119,0.3306124910347009,-0.4168961599740629,0.06336166811547916
BKN,PHI,04/14/2024,-1.0,-0.21615535694481947,-2.1965884467602543,-0.84183393854609,-1.6229386787917572,-1.1984635144410105,0.9268457655190753,-0.23446136777254903,-1.5043654332443086,-0.15872878543696486,0.1862984538446269,0.3306124910347009,-1.1401433768543126,-1.3305950304250624
POR,SAC,04/14/2024,-1.0,-0.21615535694481947,-2.5080355694709304,1.2973901047257719,-2.8963363517460867,-2.5055166568911247,-0.3674761939520518,1.5907758623555253,-1.7004622415201138,1.1533438361185904,1.249626055834841,-1.209741160376974,0.0652686512794369,-2.471105056503687
SAS,DET,04/14/2024,1.0,-0.21615535694481947,0.6842974383134964,0.29908555119890295,1.1421534110519291,0.9120076146527519,1.6664583137882907,1.5907758623555253,1.2409898826169665,0.10368573887414617,0.5407409878413649,-0.8246527475240553,-0.4168961599740629,1.7741267072334166
LAL,NOP,04/14/2024,1.0,-0.21615535694481947,0.7621592189911655,-0.27137419367359356,1.396832945642796,0.16854619417653982,-0.1825730568847479,-0.6907706753045676,1.0448930743411613,0.3661002631852572,1.6040685898315792,-0.8246527475240553,-1.3812257824810623,1.0137866898476666
MEM,DEN,04/14/2024,-1.0,-0.21615535694481947,-0.25004392981853085,1.5826199771620202,-0.45868937780494184,-1.4742637188112182,-1.1070887422212672,-0.08235826526187619,-0.9160750084168924,-0.15872878543696486,0.5407409878413649,-1.209741160376974,-0.17581375434731297,-0.9504250217321875
SAC,POR,04/14/2024,1.0,-0.21615535694481947,0.5285738769581586,-0.27137419367359356,0.3417320166234936,0.20452013387700219,0.9268457655190753,1.1344665548235067,0.45660264951374513,0.10368573887414617,1.249626055834841,0.3306124910347009,0.0652686512794369,2.471105056503687
LAC,HOU,04/14/2024,-1.0,-0.21615535694481947,-0.7172146138845445,2.1530797220345166,-1.4774075161684057,-1.7860378628818874,0.3721363543171637,1.1344665548235067,-0.719978200141087,-0.4211433097480759,1.9585111238283173,1.1007893167405385,-1.1401433768543126,-0.6969783492702708
PHX,MIN,04/14/2024,1.0,-0.21615535694481947,0.8400209996688344,-0.41398912989171766,1.305875969003201,2.243043383569841,-2.5863138387596982,-1.7554923928792776,0.26050584123793974,-0.15872878543696486,1.9585111238283173,-0.8246527475240553,1.2706806794131864,1.2038716941941041
DET,SAS,04/14/2024,-1.0,-0.21615535694481947,-1.495832420661234,0.4417004874170271,-1.5319817021521622,-1.4742637188112182,-0.7372824680866594,-0.5386675727938948,-1.8965590497959193,0.10368573887414617,-0.16814408015211119,-0.8246527475240553,-2.345555404988062,-1.7741267072334166
HOU,LAC,04/14/2024,1.0,-0.21615535694481947,0.13926497356981385,2.0104647858163927,0.17800945867222293,-0.9106719968373159,1.6664583137882907,2.3512913749088895,0.8487962660653559,1.1533438361185904,-0.16814408015211119,1.1007893167405385,-1.3812257824810623,0.6969783492702708
PHI,BKN,04/14/2024,1.0,-0.21615535694481947,-0.5614910525292066,1.0121602322895236,-0.8770914703470781,-0.5629239130661844,2.0362645879228984,2.0470851698875436,0.6526994577895505,0.10368573887414617,0.1862984538446269,0.3306124910347009,-0.6579785656008128,1.3305950304250624
IND,ATL,04/14/2024,1.0,-0.21615535694481947,3.3315979813542405,1.5826199771620202,3.179589687778857,1.9552518659661453,0.5570394913844675,0.6781572472914881,2.8097643488234096,0.6285147874963682,0.895183521838103,0.3306124910347009,1.2706806794131864,2.661190060850125
